name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Roller Soaker,Steel,Water Coaster,33,21,396,0,SetPoint,Hersheypark,status.closed.definitely,,
Sidewinder,Steel,Sit Down,76,36,285,3,Vekoma,Hersheypark,status.operating,,
Sooperdooperlooper,Steel,Sit Down,,,,1,Schwarzkopf,Hersheypark,status.operating,,
Trailblazer,Steel,Sit Down,,,,0,Arrow,Hersheypark,status.operating,,
Wild Mouse,Steel,Sit Down,45,14,370,0,Mack,Hersheypark,status.operating,,
Wildcat,Wooden,Sit Down,81,27,970,0,GCI,Hersheypark,status.operating,,
Labyrinth,Steel,Sit Down,38,12,410,0,Meisho Amusement Machines,Himeji Central Park,status.operating,,
Jet Coaster,Steel,Sit Down,65,,,0,Meisho Amusement Machines,Himeji Central Park,status.operating,,
Imorinth,Steel,Sit Down,22,5,131,0,Pinfari,Himeji Central Park,status.operating,,
Diavlo,Steel,Inverted,78,33,794,5,B&M,Himeji Central Park,status.operating,,
Diving Machine G5,Steel,Sit Down,110,55,381,0,B&M,Janfusun Fancyworld,status.operating,,
Diving Machine Jr.,Steel,Sit Down,,,217,0,Zamperla,Janfusun Fancyworld,status.operating,,
Insane Speed,Steel,Floorless,56,,816,4,B&M,Janfusun Fancyworld,status.operating,,
Dragen,Steel,Sit Down,,,,0,Mack,Legoland Billund,status.operating,,
Timber Ride,Steel,Sit Down,26,3,60,0,Zierer,Legoland Billund,status.closed.definitely,,
Eden Rail,Steel,Sit Down,,,,0,S.D.C.,Magic Park Land,status.closed.definitely,,
Chenille,Steel,Sit Down,,,,0,DAL,Magic Park Land,status.operating,,
Maverick,Steel,Sit Down,113,32,1356,2,Intamin,Cedar Point,status.operating,,
AfterBurner,Steel,Sit Down,,46,,2,S&S,Wonder Island,status.closed.definitely,,
Big Whirl Wind,Steel,Sit Down,87,,983,0,Schwarzkopf,Wonder Island,status.operating,,
Flitzer,Steel,Sit Down,,,,0,Zierer,Wonder Island,status.closed.definitely,,
Star Wars,Steel,Spinning,,,,0,Stein Company,Wonder Island,status.closed.definitely,,
Whirl Wind,Steel,Sit Down,60,20,350,2,Vekoma,Wonder Island,status.operating,,
Magic Mountain,Steel,Sit Down,,,,1,Top Fun,Magic World,status.closed.definitely,,
Verde Bruco Brucomela,Steel,Sit Down,,,,0,Pinfari,Magic World,status.closed.temporarily,,
Crazy Mouse,Steel,Sit Down,47,13,420,0,Reverchon,Magic World,status.closed.temporarily,,
Fantasy Mouse,Steel,Sit Down,,,,0,L&T Systems,Cavallino Matto,status.operating,,
Gioco Farfalla,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Cavallino Matto,status.closed.definitely,,
Speedy Gonzales,Steel,Sit Down,34,6,135,0,L&T Systems,Cavallino Matto,status.operating,,
Segreti Della Terra,Steel,Sit Down,,,,0,Zamperla,Felifonte,status.operating,,
Brucomela,Steel,Sit Down,,,,0,Pinfari,Luneur,status.operating,,
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Luneur,status.operating,,
Nessie,Steel,Sit Down,,,,0,na,Luneur,status.operating,,
Treno delle miniere,Steel,Sit Down,,,,0,Pinfari,Luneur,status.operating,,
Tokaida,Steel,Sit Down,40,7,195,0,Pinfari,Luneur,status.operating,,
Orca Ride,Steel,Sit Down,,12,,0,Zierer,Boudewijn Seapark,status.operating,,
Big Apple,Steel,Sit Down,,,,0,na,Codona's Amusement Park,status.operating,,
Crazy Train,Steel,Sit Down,40,902,233,0,Pinfari,Codona's Amusement Park,status.operating,,
Looping Star,Steel,Sit Down,,11,365,1,Pinfari,Codona's Amusement Park,status.operating,,
Renegade,Wooden,Sit Down,,32,950,0,GCI,Valleyfair,status.operating,,
Crush's Coaster,Steel,Spinning,61,16,424,0,Maurer,Walt Disney Studios,status.operating,,
Fiesta Express,Steel,Sit Down,,2,80,0,Zamperla,Legoland Florida,status.closed.definitely,,
Galaxy Spin,Steel,Sit Down,47,13,420,0,Zamperla,Legoland Florida,status.closed.definitely,,
Dragon,Steel,Sit Down,46,13,335,0,Vekoma,Legoland Florida,status.operating,,
Starliner,Steel,Sit Down,,21,805,0,Philadelphia Toboggan Coaster,Legoland Florida,status.closed.definitely,,
Flying School,Steel,Suspended,42,15,342,0,Vekoma,Legoland Florida,status.operating,,
Coastersaurus,Steel,Sit Down,52,12,416,0,Martin & Vleminckx,Legoland Florida,status.operating,,
Devil's Mine,Steel,Sit Down,,20,410,0,Vekoma,Fort Fun Abenteuerland,status.operating,,
Marienkäferbahn,Steel,Sit Down,36,8,360,0,Zierer,Fort Fun Abenteuerland,status.operating,,
Speedsnake FREE,Steel,Sit Down,60,20,350,2,Vekoma,Fort Fun Abenteuerland,status.operating,,
Snoopy's Great Race,Steel,Sit Down,,,,0,Senyo Kogyo,Universal Studios Japan,status.operating,,
Dragen,Steel,Sit Down,,,,0,Pinfari,Tivoli Friheden,status.operating,,
Orkanens Øje,Steel,Sit Down,,11,365,1,Pinfari,Tivoli Friheden,status.operating,,
Tyfonen,Steel,Sit Down,47,13,420,0,Zamperla,Tivoli Friheden,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Knott's Berry Farm,status.closed.definitely,,
GhostRider,Wooden,Sit Down,90,36,1382,0,GCI,Knott's Berry Farm,status.operating,,
Jaguar!,Steel,Sit Down,56,20,793,0,Zierer,Knott's Berry Farm,status.operating,,
Montezooma's Revenge,Steel,Sit Down,89,45,244,1,Schwarzkopf,Knott's Berry Farm,status.operating,,
Silver Bullet,Steel,Inverted,89,45,953,6,B&M,Knott's Berry Farm,status.operating,,
Timberline Twister,Steel,Sit Down,,9,,0,Bradley & Kaye,Knott's Berry Farm,status.operating,,
Train de la Mine,Steel,Sit Down,,,,0,Soquet,Papea Parc,status.operating,,
Furius Baco,Steel,Wing,135,14,900,1,Intamin,Port Aventura,status.operating,,
Hollywood Dream : The Ride,Steel,Sit Down,90,44,1200,0,B&M,Universal Studios Japan,status.operating,,
Kirnu,Steel,4th Dimension,60,26,142,0,Intamin,Linnanmäki,status.operating,,
Big Coaster,Steel,Sit Down,,,,0,Pinfari,Wonderland Amusement Park,status.operating,,
Cyclone,Steel,Sit Down,,,,0,Carl Miler,Wonderland Amusement Park,status.operating,,
Texas Tornado,Steel,Sit Down,,24,625,2,Hopkins,Wonderland Amusement Park,status.operating,,
Cobra,Steel,Sit Down,85,42,215,1,Pax,Conny-Land,status.operating,,
Desert Race,Steel,Sit Down,100,19,650,0,Intamin,Heide Park,status.operating,,
Flying Fish,Steel,Sit Down,30,6,234,0,Mack,Thorpe Park,status.operating,,
Griffon,Steel,Floorless,120,62,950,2,B&M,Busch Gardens Williamsburg,status.operating,,
Journey To Atlantis,Steel,Water Coaster,80,30,,0,Mack,SeaWorld San Antonio,status.operating,,
Heiße Fahrt,Steel,Sit Down,55,18,533,0,Gerstlauer,Wild- und Freizeitpark,status.operating,,
Mystery Mine,Steel,Sit Down,74,35,552,2,Gerstlauer,Dollywood,status.operating,,
Mariehønen,Steel,Sit Down,26,3,60,0,Zierer,Bakken,status.operating,,
Mine Train Ulven,Steel,Sit Down,65,19,,0,Intamin,Bakken,status.operating,,
Racing,Steel,Sit Down,,,,0,Zierer,Bakken,status.operating,,
Rutschebanen,Steel,Sit Down,75,22,987,0,ACE Coaster Classic,Bakken,status.operating,,
Falcon,Steel,Sit Down,,22,320,2,Gerstlauer,Duinrell,status.operating,,
Wipeout,Steel,Sit Down,77,36,285,3,Vekoma,Pleasurewood Hills,status.operating,,
Enigma,Steel,Sit Down,55,16,530,0,Schwarzkopf,Pleasurewood Hills,status.operating,,
Snake In The Grass,Steel,Sit Down,36,8,360,0,Zierer,Pleasurewood Hills,status.operating,,
Família Expressz,Steel,Sit Down,40,7,195,0,Pinfari,Vidámpark,status.operating,,
Hullámvasút,Steel,Sit Down,,17,980,0,ACE Coaster Classic,Vidámpark,status.operating,,
Kukomotív,Steel,Sit Down,,,,0,D.P.V. Rides,Vidámpark,status.operating,,
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Vidámpark,status.operating,,
Kumba,Steel,Inverted,80,33,689,5,Vekoma,Superland,status.operating,,
Loop 2000,Steel,Sit Down,,11,365,1,Pinfari,Superland,status.closed.definitely,,
Hello Kitty Angel Coaster,Steel,Sit Down,,,,0,Zamperla,Seibuen Yuenchi,status.operating,,
Loop Screw,Steel,Sit Down,80,30,,3,Togo,Seibuen Yuenchi,status.closed.definitely,,
Bandit,Steel,Sit Down,110,60,1560,0,Togo,Yomiuriland,status.operating,,
Standing & Loop Coaster,Steel,Stand Up,,25,,1,Togo,Yomiuriland,status.operating,,
Wan Wan Coaster Wandit,Steel,Sit Down,30,6,148,0,Hoei Sangyo,Yomiuriland,status.operating,,
White Canyon,Steel,Sit Down,84,35,1100,0,RCCA,Yomiuriland,status.closed.definitely,,
Doo Wopper,Steel,Sit Down,,11,270,0,Zamperla,Morey's Piers,status.operating,,
Flitzer,Steel,Sit Down,,,,0,Zierer,Morey's Piers,status.operating,,
Fly the Great Nor'Easter,Steel,Inverted,89,35,661,5,Vekoma,Morey's Piers,status.operating,,
Great White,Wooden,Sit Down,81,34,1006,0,CCI,Morey's Piers,status.operating,,
Rollies Coaster,Steel,Sit Down,,,,0,Pinfari,Morey's Piers,status.operating,,
Sea Serpent,Steel,Sit Down,76,36,285,3,Vekoma,Morey's Piers,status.operating,,
SL Coaster,Steel,Sit Down,,,,0,Togo,Yomiuriland,status.closed.definitely,,
Blauer Enzian,Steel,Sit Down,,,,0,Mack,Freizeit-Land Geiselwind,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Freizeit-Land Geiselwind,status.operating,,
Drehgondelbahn,Steel,Spinning,,,,0,Zierer,Freizeit-Land Geiselwind,status.operating,,
Marienkäferbahn,Steel,Sit Down,,,,0,Zierer,Freizeit-Land Geiselwind,status.operating,,
Caterpillar Capers,Steel,Sit Down,,,,0,Pinfari,Camelot Theme Park,status.closed.definitely,,
Dragon Flyer,Steel,Sit Down,,,,0,na,Camelot Theme Park,status.closed.definitely,,
Gauntlet,Steel,Sit Down,,,,0,Pinfari,Camelot Theme Park,status.closed.definitely,,
Junior Dragon Coaster,Steel,Sit Down,,,,0,na,Camelot Theme Park,status.closed.definitely,,
Whirlwind,Steel,Spinning,,,,0,Maurer,Camelot Theme Park,status.closed.definitely,,
Exterminator,Steel,Sit Down,47,13,420,0,Reverchon,Kennywood,status.operating,,
Jack Rabbit,Steel,Sit Down,72,21,650,0,ACE Coaster Classic,Kennywood,status.operating,,
Lil' Phantom,Steel,Sit Down,,,,0,na,Kennywood,status.operating,,
Phantom's Revenge,Steel,Sit Down,132,70,975,0,Arrow,Kennywood,status.operating,,
Racer (Right),Wooden,Sit Down,,22,686,0,John Miller,Kennywood,status.operating,,
Thunderbolt,Steel,Sit Down,89,29,880,0,ACE Coaster Classic,Kennywood,status.operating,,
Corsaire,Steel,Sit Down,40,10,300,0,Soquet,Cobac Parc,status.operating,,
Cobra,Steel,Sit Down,76,36,285,3,Vekoma,PowerPark,status.operating,,
Joyride,Steel,Sit Down,,16,280,0,L&T Systems,PowerPark,status.operating,,
Thunderbird,Wooden,Sit Down,75,27,850,0,GCI,PowerPark,status.operating,,
Stinger,Steel,Sit Down,32,6,199,0,Zierer,Paultons Park,status.closed.definitely,,
Flying Frog,Steel,Sit Down,,,,0,Zierer,Paultons Park,status.closed.definitely,,
Cobra,Steel,Sit Down,50,17,450,0,Gerstlauer,Paultons Park,status.operating,,
Black Hole Scramble,Steel,Sit Down,,,,0,Nippon,Space World,status.closed.definitely,,
Boogie-woogie Space Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Space World,status.closed.definitely,,
Clipper,Steel,Sit Down,32,10,303,0,Togo,Space World,status.closed.definitely,,
Titan MAX,Steel,Sit Down,115,54,1530,0,Arrow,Space World,status.closed.definitely,,
Venus GP,Steel,Sit Down,86,40,1040,1,Maurer,Space World,status.relocated,,
Zaturn,Steel,Sit Down,129,63,400,0,Intamin,Space World,status.closed.definitely,,
Supersonic Odyssey,Steel,Sit Down,70,38,800,3,Intamin,Berjaya Times Square Theme Park,status.operating,,
Superman Escape,Steel,Sit Down,100,40,760,0,Intamin,Warner Bros. Movie World,status.operating,,
Arkham Asylum - Shock Therapy,Steel,Inverted,80,33,765,5,Vekoma,Warner Bros. Movie World,status.operating,,
Road Runner Rollercoaster,Steel,Sit Down,40,11,335,0,Vekoma,Warner Bros. Movie World,status.operating,,
Scooby-Doo Spooky Coaster,Steel,Sit Down,45,17,530,0,Mack,Warner Bros. Movie World,status.operating,,
Speed,Steel,Sit Down,113,68,416,1,Premier Rides,Nascar Café,status.closed.definitely,,
Swamp Thing,Steel,Suspended,,,,0,Vekoma,Wild Adventures,status.operating,,
Hangman,Steel,Inverted,80,33,698,5,Vekoma,Wild Adventures,status.operating,,
Gold Rush,Steel,Sit Down,,,,0,Chance Rides,Wild Adventures,status.closed.definitely,,
Fiesta Express,Steel,Sit Down,,,,0,Zamperla,Wild Adventures,status.operating,,
Cheetah,Steel,Sit Down,84,28,817,0,CCI,Wild Adventures,status.operating,,
Bug Out,Steel,Sit Down,45,15,370,0,Maurer,Wild Adventures,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wild Adventures,status.operating,,
Ant Farm Express,Steel,Sit Down,35,9,207,0,Vekoma,Wild Adventures,status.operating,,
Toos Express,Steel,Sit Down,60,12,320,0,Vekoma,Toverland,status.operating,,
Booster Bike,Steel,Motorbike,75,15,600,0,Vekoma,Toverland,status.operating,,
Montanha Russa de Ãgua,Steel,Water Coaster,69,23,740,0,Mack,Aquashow,status.operating,,
Mayan Adventure,Steel,Inverted,80,33,689,5,Vekoma,Formosan Aboriginal Culture Village,status.operating,,
Space Mountain,Steel,Sit Down,,,,0,Vekoma,Formosan Aboriginal Culture Village,status.operating,,
Miami,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating,,
Diving Coaster: Vanish,Steel,Sit Down,,35,744,0,Senyo Kogyo,Yokohama Cosmoworld,status.operating,,
Spinning Coaster,Steel,Sit Down,47,13,420,0,Reverchon,Yokohama Cosmoworld,status.operating,,
Bat,Steel,Suspended,42,15,342,0,Vekoma,Lagoon,status.operating,,
Colossus the Fire Dragon,Steel,Sit Down,89,26,869,2,Schwarzkopf,Lagoon,status.operating,,
Puff the Little Fire Dragon,Steel,Sit Down,26,3,60,0,Zierer,Lagoon,status.operating,,
Roller Coaster,Steel,Sit Down,72,19,762,0,Philadelphia Toboggan Coaster,Lagoon,status.operating,,
Spider,Steel,Spinning,60,16,424,0,Maurer,Lagoon,status.operating,,
Wild Mouse,Steel,Sit Down,45,15,370,0,Maurer,Lagoon,status.operating,,
Wicked,Steel,Sit Down,90,35,625,1,Zierer,Lagoon,status.operating,,
Jet Star 2,Steel,Sit Down,,14,585,0,Schwarzkopf,Lagoon,status.operating,,
Sierra Sidewinder,Steel,Spinning,60,19,430,0,Mack,Knott's Berry Farm,status.operating,,
High Speed Thrill Coaster,Steel,Sit Down,,6,61,0,Overland,Knoebels,status.closed.definitely,,
Phoenix,Wooden,Sit Down,72,24,975,0,Philadelphia Toboggan Coaster,Knoebels,status.operating,,
Twister,Wooden,Sit Down,83,31,1189,0,Philadelphia Toboggan Coaster,Knoebels,status.operating,,
Flying Turns,Wooden,Bobsleigh,39,15,396,0,Knoebels,Knoebels,status.operating,,
Abandon Mine,Steel,Sit Down,,,,0,Molina & Son's,Uncle Bernie's Theme Park,status.operating,,
Dragon,Steel,Sit Down,,,,0,Zamperla,Uncle Bernie's Theme Park,status.operating,,
Aconcagua,Steel,Sit Down,93,36,751,0,Schwarzkopf,Parque de la Ciudad,status.closed.definitely,,
Jetline,Steel,Sit Down,90,32,800,0,Schwarzkopf,Gröna Lund,status.operating,,
Nyckelpigan,Steel,Sit Down,26,3,60,0,Zierer,Gröna Lund,status.operating,,
Vilda Musen,Steel,Sit Down,55,21,430,0,Gerstlauer,Gröna Lund,status.operating,,
Orca,Steel,Sit Down,24,4,70,0,Zierer,Loro Parque,status.operating,,
Mina,Steel,Sit Down,,3,85,0,Zamperla,Parque de Atracciones de Zaragoza,status.operating,,
Moncayo,Steel,Sit Down,,,,0,Schwarzkopf,Parque de Atracciones de Zaragoza,status.operating,,
Ramses,Steel,Sit Down,,,,0,na,Parque de Atracciones de Zaragoza,status.operating,,
Schlitt' Express,Steel,Sit Down,45,14,370,0,Mack,Nigloland,status.operating,,
Coolie,Steel,Sit Down,26,3,,0,Pinfari,Foire,status.operating,,
Rage,Steel,Sit Down,70,22,361,3,Gerstlauer,Adventure Island,status.operating,,
Formule X,Steel,Sit Down,70,15,300,2,Maurer,Drievliet Family Park,status.operating,,
Dynamite Express,Steel,Sit Down,,11,262,0,Mack,Drievliet Family Park,status.operating,,
Kopermijn,Steel,Sit Down,45,15,370,0,Maurer,Drievliet Family Park,status.operating,,
Twistrix,Steel,Spinning,,,,0,Maurer,Drievliet Family Park,status.operating,,
Zading,Steel,Sit Down,,,,0,na,Foire,status.operating,,
Miami Bike,Steel,Sit Down,,2,,0,na,Foire,status.operating,,
Dragon Mountain,Steel,Sit Down,81,57,1676,4,Arrow,Marineland Theme Park,status.operating,,
La Pomme,Steel,Sit Down,26,3,,0,na,Kid parc,status.operating,,
Tree Topper,Wooden,Sit Down,56,18,427,0,William J. Cobb,Upper Clements Theme Park,status.operating,,
Dania Beach Hurricane,Steel,Sit Down,81,31,975,0,Coaster Works,Boomers!,status.operating,,
Avalanche,Wooden,Sit Down,,27,725,0,S&S,Timber Falls Adventure Park,status.closed.definitely,,
Aqua Wind,Steel,Sit Down,60,,,0,Gerstlauer,Lagunasia,status.operating,,
Pirates' Blast,Steel,Sit Down,43,12,478,0,Senyo Kogyo,Lagunasia,status.operating,,
Stellar Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Lagunasia,status.operating,,
Monte Aurora,Steel,Sit Down,,,,0,Zamperla,Terra Encantada,status.closed.definitely,,
Monte Makaya,Steel,Sit Down,80,37,800,8,Intamin,Terra Encantada,status.closed.definitely,,
Piuí,Steel,Sit Down,,,120,0,Zamperla,Terra Encantada,status.closed.definitely,,
Goofy's Sky School,Steel,Sit Down,44,,,0,Mack,Disney California Adventure,status.operating,,
Capitale Express,Steel,Sit Down,50,,,0,Mack,Méga Parc,status.operating,,
Keverbaan,Steel,Sit Down,36,8,360,0,Zierer,Bellewaerde,status.operating,,
Tidal Wave,Steel,Sit Down,92,42,263,1,Schwarzkopf,California's Great America,status.closed.definitely,,
Grand National (Left),Steel,Sit Down,64,19,1006,0,Charles Paige,Blackpool Pleasure Beach,status.operating,,
Big Dipper,Wooden,Sit Down,,18,1006,0,William Strickler,Blackpool Pleasure Beach,status.operating,,
Big Loop,Steel,Sit Down,63,30,706,4,Vekoma,Heide Park,status.operating,,
Grottenblitz,Steel,Sit Down,45,6,370,0,Mack,Heide Park,status.operating,,
Limit,Steel,Inverted,80,33,689,5,Vekoma,Heide Park,status.operating,,
Schweizer Bobbahn,Steel,Bobsleigh,53,27,990,0,Mack,Heide Park,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wiener Prater,status.operating,,
Dizzy Mouse,Steel,Spinning,47,13,420,0,Reverchon,Wiener Prater,status.operating,,
Hochschaubahn,Wooden,Sit Down,55,15,450,0,na,Wiener Prater,status.operating,,
Megablitz,Steel,Sit Down,70,19,550,0,Vekoma,Wiener Prater,status.operating,,
Super 8er Bahn,Steel,Sit Down,,21,780,0,Pinfari,Wiener Prater,status.operating,,
Volare,Steel,Flying,50,21,438,2,Zamperla,Wiener Prater,status.operating,,
Wilde Maus,Steel,Sit Down,45,15,370,0,Maurer,Wiener Prater,status.operating,,
Flitzer,Steel,Sit Down,,,,0,Zierer,Playland's Castaway Cove,status.closed.definitely,,
Python,Steel,Sit Down,,11,365,1,Pinfari,Playland's Castaway Cove,status.closed.definitely,,
Sea Serpent,Steel,Sit Down,,,,0,Miler Coaster,Playland's Castaway Cove,status.closed.definitely,,
Sea Viper,Steel,Sit Down,70,28,600,3,Arrow,Sea World,status.closed.definitely,,
Canyon Blaster,Steel,Sit Down,66,29,739,4,Arrow,Adventuredome,status.operating,,
Froschbahn,Steel,Sit Down,26,3,60,0,Zierer,Bayern Park,status.operating,,
Windstorm,Steel,Sit Down,,,438,0,Zamperla,Old Town,status.operating,,
Boardwalk Bullet,Wooden,Sit Down,82,29,986,0,Gravity Group,Kemah Boardwalk,status.operating,,
Inferno,Steel,4th Dimension,60,25,142,0,Intamin,Terra Mítica,status.operating,,
Jimmy Neutron's Atomic Flyer,Steel,Suspended,,13,294,0,Vekoma,Movie Park Germany,status.operating,,
Knightmare,Steel,Sit Down,70,27,786,0,Schwarzkopf,Camelot Theme Park,status.closed.definitely,,
Infusion,Steel,Inverted,80,34,689,5,Vekoma,Blackpool Pleasure Beach,status.operating,,
Kvasten,Steel,Suspended,55,20,400,0,Vekoma,Gröna Lund,status.operating,,
Family Gravity Coaster,Steel,Sit Down,,,,0,Zamperla,Chimelong Paradise,status.closed.definitely,,
Twister Coaster,Steel,Sit Down,,,,0,Golden Horse,Chimelong Paradise,status.closed.definitely,,
Crystal Wings,Steel,Flying,82,32,,2,B&M,Happy Valley Beijing,status.operating,,
Jungle Racing,Steel,Sit Down,,,,0,Vekoma,Happy Valley Beijing,status.operating,,
Harvest Time,Steel,Sit Down,,,,0,Golden Horse,Happy Valley Beijing,status.closed.temporarily,,
Golden Wings in Snowfield,Steel,Inverted,88,36,671,4,Vekoma,Happy Valley Beijing,status.operating,,
Crazy Mouse,Steel,Sit Down,50,13,376,1,Togo,Tobu Zoo Park,status.closed.definitely,,
Regina,Steel,Sit Down,90,37,1334,0,Intamin,Tobu Zoo Park,status.operating,,
Tentomushi,Steel,Sit Down,32,6,199,0,Zierer,Tobu Zoo Park,status.operating,,
Rat,Steel,Sit Down,45,15,370,0,Maurer,Loudoun Castle,status.closed.definitely,,
Twist and Shout,Steel,Sit Down,66,19,554,1,Schwarzkopf,Loudoun Castle,status.operating,,
Wacky Worm,Steel,Sit Down,,,,0,na,Loudoun Castle,status.operating,,
Orphan Rocker,Steel,Sit Down,45,25,25,0,na,Scenic World,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Playcenter São Paulo,status.operating,,
Dragon,Steel,Sit Down,,,,0,Zamperla,Playcenter São Paulo,status.operating,,
Happy Mountain,Steel,Sit Down,,,,0,Três Eixos,Playcenter São Paulo,status.operating,,
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Playcenter São Paulo,status.operating,,
Windstorm,Steel,Sit Down,40,8,396,0,S&MC,Playcenter São Paulo,status.operating,,
Lady Bug Coaster,Steel,Sit Down,26,4,68,0,Zierer,Marineland Theme Park,status.operating,,
Primeval Whirl,Steel,Spinning,47,13,420,0,Reverchon,Disney's Animal Kingdom,status.operating,,
Barnstormer,Steel,Sit Down,40,9,,0,Vekoma,Disney's Magic Kingdom,status.operating,,
Big Thunder Mountain Railroad,Steel,Sit Down,58,,847,0,Arrow,Disney's Magic Kingdom,status.operating,,
Space Mountain - Alpha,Steel,Sit Down,44,27,974,0,Arrow,Disney's Magic Kingdom,status.operating,,
Woody Woodpecker's Nusthouse Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Universal Studios Florida,status.operating,,
Space Mountain,Steel,Sit Down,52,23,1052,0,Dynamic Attractions,Disneyland,status.operating,,
Big Thunder Mountain Railroad,Steel,Sit Down,45,,814,0,Walt Disney Imagineering,Disneyland,status.operating,,
Matterhorn Bobsleds (Left),Steel,Sit Down,43,24,621,0,Arrow,Disneyland,status.operating,,
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Disneyland,status.operating,,
Drachen Fire,Steel,Sit Down,97,46,1082,5,Arrow,Busch Gardens Williamsburg,status.closed.definitely,,
Comet,Wooden,Sit Down,89,29,1279,0,Philadelphia Toboggan Coaster,Great Escape,status.operating,,
Flashback,Steel,Sit Down,76,36,285,3,Vekoma,Great Escape,status.operating,,
Canyon Blaster,Steel,Sit Down,72,17,610,0,Arrow,Great Escape,status.operating,,
Nightmare at Crack Axle Canyon,Wooden,Sit Down,50,14,538,0,Schwarzkopf,Great Escape,status.closed.definitely,,
Frankie's Mine Train,Steel,Sit Down,,3,85,0,Zamperla,Great Escape,status.operating,,
Steamin' Demon,Steel,Sit Down,70,21,488,3,Arrow,Great Escape,status.operating,,
Doppel Looping,Steel,Sit Down,84,28,671,2,Schwarzkopf,Foire,status.operating,,
Pandemonium,Steel,Spinning,50,16,412,0,Gerstlauer,Six Flags Fiesta Texas,status.operating,,
Thunderbolt,Steel,Sit Down,87,31,1207,2,Meisho Amusement Machines,Dreamworld,status.closed.definitely,,
Miami,Steel,Sit Down,,,,0,na,Antibesland,status.closed.definitely,,
Lasso Loop,Steel,Sit Down,,20,105,0,Schwarzkopf,OK Corral,status.closed.definitely,,
Tornado,Steel,Sit Down,64,23,725,2,Vekoma,Walibi Belgium,status.closed.definitely,,
Jumbo Jet,Steel,Sit Down,63,17,791,0,Schwarzkopf,Walibi Belgium,status.closed.definitely,,
Troy,Wooden,Sit Down,87,32,1077,0,GCI,Toverland,status.operating,,
Hankatten,Steel,Spinning,55,16,397,0,Gerstlauer,Bonbon-Land,status.operating,,
Phaethon,Steel,Inverted,90,45,1000,6,B&M,Gyeongju World,status.operating,,
Dragon 2 Loop Coaster,Steel,Sit Down,,,,0,Zamperla,Gyeongju World,status.operating,,
Space Tour,Steel,Sit Down,,,,0,na,Gyeongju World,status.closed.definitely,,
Space 2000,Steel,Sit Down,,,,2,Meisho Amusement Machines,Gyeongju World,status.closed.definitely,,
Padrinos Voladores,Steel,Suspended,13,6,110,0,Zamperla,Parque de Atracciones de Madrid,status.operating,,
Vagones Locos,Steel,Sit Down,,3,85,0,Zamperla,Parque de Atracciones de Madrid,status.closed.temporarily,,
Flight of the Phoenix,Steel,Sit Down,80,31,830,8,Intamin,Phoenix Mountain's Happy Park,status.operating,,
Kentucky Rumbler,Wooden,Sit Down,77,27,862,0,GCI,Beech Bend,status.operating,,
Roler Coaster (le),Steel,Sit Down,,,,0,na,Foire,status.operating,,
Looping Star,Steel,Sit Down,,11,365,1,Pinfari,Beech Bend,status.closed.definitely,,
Wild Mouse,Steel,Sit Down,47,13,420,0,Zamperla,Beech Bend,status.operating,,
Auto BergBahn,Wooden,Sit Down,,,,0,na,Wiener Prater,status.operating,,
Der Zug des Manitu,Steel,Sit Down,,,,0,CAM Baby Kart,Wiener Prater,status.operating,,
Chenille,Steel,Sit Down,,,,0,Soquet,Fami P.A.R.C,status.closed.definitely,,
Pomme,Steel,Sit Down,,,,0,na,Europark,status.operating,,
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Blue Bayou Dixie Landin',status.operating,,
Ragin' Cajun,Steel,Sit Down,76,26,285,3,Vekoma,Blue Bayou Dixie Landin',status.operating,,
Xtreme,Steel,Spinning,60,16,424,0,Maurer,Blue Bayou Dixie Landin',status.operating,,
Storm,Steel,Sit Down,45,11,325,0,Pinfari,Europark Idroscalo,status.operating,,
Bruco Mela,Steel,Sit Down,,,,0,na,Europark Idroscalo,status.operating,,
Tokaido,Steel,Sit Down,,,,0,Pinfari,Europark Idroscalo,status.operating,,
Grand Huit,Steel,Sit Down,,,,0,S.D.C.,Europark,status.closed.definitely,,
Comet Express,Steel,Sit Down,,,,0,Intamin,Lotte World,status.operating,,
French Revolution,Steel,Sit Down,,,,1,Vekoma,Lotte World,status.operating,,
Tremors,Wooden,Sit Down,96,31,915,0,CCI,Silverwood Theme Park,status.operating,,
